,nr,file,pid,mom,eta_bin,eta,phi,aero_thetac_hist_entries,aero_thetac_fit_mean,aero_thetac_fit_sigma,aero_thetac_res_hist_entries,aero_thetac_res_fit_mean,aero_thetac_res_fit_sigma,gas_thetac_hist_entries,gas_thetac_fit_mean,gas_thetac_fit_sigma,gas_thetac_res_hist_entries,gas_thetac_res_fit_mean,gas_thetac_res_fit_sigma,SPEaero_thetac_hist_entries,SPEaero_thetac_hist_mean,SPEaero_thetac_fit_mean,SPEaero_thetac_fit_sigma,SPEaero_thetac_res_hist_entries,SPEaero_thetac_res_hist_mean,SPEaero_thetac_res_fit_mean,SPEaero_thetac_res_fit_sigma,SPEgas_thetac_hist_entries,SPEgas_thetac_hist_mean,SPEgas_thetac_fit_mean,SPEgas_thetac_fit_sigma,SPEgas_thetac_res_hist_entries,SPEgas_thetac_res_hist_mean,SPEgas_thetac_res_fit_mean,SPEgas_thetac_res_fit_sigma
62,62,ana_211_15_5_7.root,211,15,5,2,7,199,223.85717058055573,0.5716058165645485,199,-1.564528457,0.5644930698754612,191,38.111544107968186,0.7208508017355021,199,-1.564528457,0.5644930698754612,2380,223.8689075630252,223.7867666549492,2.107042597838897,2380,-1.548459384,-1.632938567,2.0720020091196023,2593,38.13810258387968,38.120337539348846,2.9626838487227247,2334,-1.412567838,-1.63139862,2.0686386307409794
5,5,ana_211_15_10_0.root,211,15,10,2.5,0,199,223.91646469259965,0.3964104913715509,199,-1.494335658,0.37155618783185407,197,37.87451648656825,0.2462692611544127,199,-1.494335658,0.37155618783185407,2389,223.9022603599833,223.7286157161598,1.7652365818952285,2389,-1.513631924,-1.691020243,1.7680688244949962,2671,37.89460876076377,37.895282125114186,0.7640149550595183,2379,-1.483396385,-1.701882234,1.7082464672704447
4,4,ana_211_15_10_1.root,211,15,10,2.5,1,196,223.91004504060902,0.47955963379942224,196,-1.480893626,0.4886483879799093,193,37.89901961318793,0.2733319497230021,196,-1.480893626,0.48864838784465425,2181,223.89798257679962,223.73274273455712,1.7157170985441714,2181,-1.522206939,-1.699171533,1.6528979918709203,2534,37.89202841357538,37.875369544893054,0.7159332384646556,2171,-1.488131429,-1.699157425,1.6528649683355705
3,3,ana_211_15_10_2.root,211,15,10,2.5,2,196,223.81870142867922,0.6071014618078625,196,-1.594036428,0.6021437064482852,191,37.967009786114865,0.258043423,195,-1.594036251,0.6021427207795883,1569,223.7829828,223.6285975536783,1.727965057161031,1569,-1.630890164,-1.795961677,1.6681633210171565,2762,37.96488052136133,37.851435092001935,0.7810633828535465,1560,-1.591623932,-1.795894567,1.6679778994539844
0,0,ana_211_15_10_3.root,211,15,10,2.5,3,197,223.92775756804394,0.5010918563028388,197,-1.497689039,0.4963260955753733,191,37.902271068000985,0.2612423461471206,197,-1.497689039,0.4963260955753733,2085,223.86959232613907,223.70276752293464,1.743604888788828,2085,-1.545483613,-1.718008129,1.7069135333910865,2559,37.893669402110206,37.86731854059055,0.6983349541252302,2077,-1.518761034,-1.719797894,1.6961738879324646
1,1,ana_211_15_10_4.root,211,15,10,2.5,4,197,223.94111282156905,0.47833056817343284,197,-1.486736929,0.4778745915438712,195,37.85637334558052,0.260758576,197,-1.486736929,0.4778745915438712,2345,223.9419616204691,223.68787553200576,1.6066779818406405,2345,-1.475451315,-1.707275659,1.7193261724350521,2688,37.892633928571435,37.86890467516101,0.8125973345452364,2339,-1.459341599,-1.707234962,1.7191759150895773
88,88,ana_211_15_10_5.root,211,15,10,2.5,5,200,223.98232058926635,0.4347109126669312,200,-1.442795182,0.41388511629925484,198,37.799567023629216,0.2640532166928532,199,-1.44279546,0.41388637259636807,2130,224.0131455399061,223.82552060173154,1.7581643122220352,2130,-1.403630673,-1.58984795,1.7561859861064764,2629,37.84119437048307,37.79811945729701,0.6798013669000312,2126,-1.390843525,-1.593825143,1.7327011743958156
84,84,ana_211_15_10_6.root,211,15,10,2.5,6,196,223.90375299246085,0.4605693317912956,196,-1.519802266,0.43532632346712824,193,37.94561429613625,0.24776254936743725,196,-1.519802266,0.43532632346712824,1636,223.9304400977995,223.71845514023593,1.718524856,1636,-1.486226569,-1.696838869,1.7215504222358238,2699,37.95187106,37.86370160971173,0.8396321069173801,1636,-1.486226569,-1.696897432,1.7215504222358236
2,2,ana_211_15_10_7.root,211,15,10,2.5,7,200,223.91501630268402,0.5479888752877436,200,-1.524343331,0.5539084155279842,196,37.90667846675426,0.27815652262410234,199,-1.524343238,0.5539081122120382,2061,223.8605046094129,223.7257793,1.8338442609328842,2061,-1.556752386,-1.690394635,1.8418819503241322,2692,37.88766716196137,37.92694562066386,0.7158299361231226,2044,-1.499021526,-1.696610954,1.7978669681949389
87,87,ana_211_15_15_0.root,211,15,15,3,0,199,224.00995711207182,0.5077062292109616,199,-1.409977471,0.5217331409438211,197,37.94266451375937,0.32454033279303857,199,-1.409977471,0.5217331409438211,2058,223.95714285714288,223.73311212809847,1.718033693118458,2058,-1.457337221,-1.715386644,1.569181678,2403,37.95002080732417,37.93037963273551,0.8549499181843466,2045,-1.409062755,-1.715379607,1.5691694581143598
83,83,ana_211_15_15_1.root,211,15,15,3,1,198,223.89686312215323,0.5626169421375306,198,-1.518776135,0.5558507882109915,198,37.90638839106461,0.31265209965836854,198,-1.518776135,0.5558507882109915,2042,223.8958863858962,223.7175574373727,1.7308014065082746,2042,-1.520339536,-1.702983493,1.730879517684282,2416,37.87251655629139,37.94954281756528,0.8820672058404303,2039,-1.510969429,-1.705702113,1.7145894566141975
82,82,ana_211_15_15_2.root,211,15,15,3,2,199,223.89807255157865,0.5052542821561117,199,-1.528381312,0.4868883035002966,198,37.86126731190897,0.27615981139560863,199,-1.528381312,0.48688830310004927,2314,223.93068280034572,223.71734127900433,1.7845129297260114,2314,-1.488504754,-1.698984807,1.7842066192717196,2732,37.81734992679356,37.89207618340196,0.855549671,2309,-1.474433377,-1.703672907,1.759976497892678
81,81,ana_211_15_15_3.root,211,15,15,3,3,196,223.95856343082076,0.5674169461485287,196,-1.464104567,0.5757718044544132,191,37.90459736750963,0.2943428941454513,196,-1.464104567,0.5757718044544132,2142,223.97394957983195,223.80005525875546,1.7636968939942153,2142,-1.441830065,-1.60720053,1.816845125052334,2642,37.904012112036334,37.92234083286459,0.9077225446505583,2127,-1.393167215,-1.607073955,1.8164603988131238
